Flow 1 (10.100.0.2 -> 10.100.0.1): 611.161 Mbps
Flow 2 (10.100.0.1 -> 10.100.0.2): 0.0091648 Mbps
Flow 3 (13.0.0.5 -> 13.0.0.6): 9864.66 Mbps
Flow 4 (14.0.0.6 -> 14.0.0.5): 9864.66 Mbps
Flow 5 (14.0.0.5 -> 14.0.0.6): 8907.53 Mbps
Flow 6 (13.0.0.6 -> 13.0.0.5): 8907.53 Mbps
Flow 7 (1.0.0.2 -> 7.0.0.2): 0.0795053 Mbps
Flow 8 (1.0.0.2 -> 7.0.0.3): 0.0794757 Mbps
Flow 9 (1.0.0.2 -> 7.0.0.4): 0.0794461 Mbps
Flow 10 (1.0.0.2 -> 7.0.0.5): 0.0794165 Mbps
Flow 11 (1.0.0.2 -> 7.0.0.6): 0.0569649 Mbps
Flow 12 (1.0.0.2 -> 7.0.0.7): 0.0793869 Mbps
Flow 13 (1.0.0.2 -> 7.0.0.8): 0.0800887 Mbps
Flow 14 (1.0.0.2 -> 7.0.0.9): 0.0793308 Mbps
Flow 15 (7.0.0.2 -> 1.0.0.2): 0.0143725 Mbps
Flow 16 (7.0.0.3 -> 1.0.0.2): 0.0139514 Mbps
Flow 17 (7.0.0.4 -> 1.0.0.2): 0.0135543 Mbps
Flow 18 (7.0.0.5 -> 1.0.0.2): 0.0131792 Mbps
Flow 19 (7.0.0.6 -> 1.0.0.2): 0.0141589 Mbps
Flow 20 (7.0.0.7 -> 1.0.0.2): 0.01375 Mbps
Flow 21 (7.0.0.8 -> 1.0.0.2): 0.0133641 Mbps
Flow 22 (7.0.0.9 -> 1.0.0.2): 0.0129993 Mbps
Flow 23 (1.0.0.2 -> 7.0.0.2): 0.0648539 Mbps
Flow 24 (1.0.0.2 -> 7.0.0.3): 0.0285995 Mbps
Flow 25 (1.0.0.2 -> 7.0.0.6): 0.0653035 Mbps
Flow 26 (1.0.0.2 -> 7.0.0.7): 0.0651443 Mbps
Flow 27 (1.0.0.2 -> 7.0.0.4): 0.0647116 Mbps
Flow 28 (1.0.0.2 -> 7.0.0.8): 0.0647242 Mbps
Flow 29 (1.0.0.2 -> 7.0.0.5): 0.0648911 Mbps
Flow 30 (1.0.0.2 -> 7.0.0.9): 0.0648025 Mbps
